number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
3941,bousculer,none,v,"to knock over, knock into",* je voulais bousculer les habitudes des gens -- I wanted to shake up people's habits,je voulais bousculer les habitudes des gens,7,I wanted to shake up people's habits,74,215,74 | 215
3942,ériger,none,v,"to erect, set up",* Hitler avait érigé un vieux symbole hindou -- Hitler had erected an ancient Hindu symbol,Hitler avait érigé un vieux symbole hindou,7,Hitler had erected an ancient Hindu symbol,78,177,78 | 177
3943,conversion,none,nf,conversion,* pouvez-vous expliquer votre notion de conversion psychique? -- can you explain your notion of psychic conversion?,pouvez-vous expliquer votre notion de conversion psychique?,7,can you explain your notion of psychic conversion?,58,398,58 | 398
3944,patte,none,nf,"paw, foot, leg",* elles marchaient de côté avec des pattes de crabe -- they walked sideways crab-style,elles marchaient de côté avec des pattes de crabe,9,they walked sideways crab-style,64,318,64 | 318
3945,planifier,none,v,to plan,"* plus nous planifions longtemps d'avance, mieux c'est -- the longer ahead we plan, the better","plus nous planifions longtemps d'avance, mieux c'est",7,"the longer ahead we plan, the better",72,231,72 | 231
3946,transitoire,none,adj(f),"transient, interim, provisional",* il y a installé l'administration transitoire -- there he set up the transitional administration,il y a installé l'administration transitoire,6,there he set up the transitional administration,67,285,67 | 285
3947,tardif,none,adj,late,* je vous prie d'excuser mon arrivée tardive -- I beg you to excuse my late arrival,je vous prie d'excuser mon arrivée tardive,7,I beg you to excuse my late arrival,79,172,79 | 172
3948,prédécesseur,none,nm,predecessor,* il est substantiellement semblable à son prédécesseur -- he's largely similar to his predecessor,il est substantiellement semblable à son prédécesseur,7,he's largely similar to his predecessor,69,267,69 | 267
3949,natal,none,adj,"native, home",* il voulait quitter sa ville natale -- he wanted to leave his hometown,il voulait quitter sa ville natale,6,he wanted to leave his hometown,74,212,74 | 212
3950,humour,none,nm,humour,"* sans humour, tu ne survis pas -- without humor, you don't survive","sans humour, tu ne survis pas",6,"without humor, you don't survive",67,288,67 | 288
3951,défaillance,none,nf,"fault, failure, breakdown, blackout, weakness",* je connaissais mes défaillances et je les regrettais -- I knew my shortcomings and I regretted them,je connaissais mes défaillances et je les regrettais,8,I knew my shortcomings and I regretted them,54,447+n -s,54 | 447+n -s
3952,hélas,none,intj,alas,"* hélas, je ne pourrai pas -- alas, I won't be able to","hélas, je ne pourrai pas",5,"alas, I won't be able to",71,248,71 | 248
3953,cabine,none,nf,"hut, cubicle, booth, box, room",* elle dort dans une cabine -- she's sleeping in a cabin,elle dort dans une cabine,5,she's sleeping in a cabin,62,348,62 | 348
3954,fardeau,none,nm,burden,* le gouvernement doit alléger le fardeau des entreprises -- the government must lighten the load of companies,le gouvernement doit alléger le fardeau des entreprises,8,the government must lighten the load of companies,62,343+s,62 | 343+s
3955,héritier,Family,nm,heir,* il n'a pas d'héritiers directs -- he has no direct heirs,il n'a pas d'héritiers directs,5,he has no direct heirs,69,263,69 | 263
3956,apport,none,nm,"supply, contribution",* cite-moi un seul apport positif de la technologie -- name me one positive contribution from technology,cite-moi un seul apport positif de la technologie,8,name me one positive contribution from technology,70,252,70 | 252
3957,remboursement,none,nm,reimbursement,"* s'ils veulent un remboursement, je le prendrais sur ta paye -- if they want reimbursement, I'll take it from your paycheck","s'ils veulent un remboursement, je le prendrais sur ta paye",10,"if they want reimbursement, I'll take it from your paycheck",67,283,67 | 283
3958,échelon,none,nm,"rung, step, grade, echelon","* j'ai tenté de grimper encore un échelon, pour lui échapper -- I tried to crawl up one more rung to escape him","j'ai tenté de grimper encore un échelon, pour lui échapper",10,I tried to crawl up one more rung to escape him,75,205,75 | 205
3959,fondre,none,v,"to melt, merge","* quel pudding exquis, il fond dans la bouche -- what exquisite pudding--it melts in the mouth","quel pudding exquis, il fond dans la bouche",8,what exquisite pudding--it melts in the mouth,73,228,73 | 228
3960,occurrence,none,nf,"instance, case, occurrence",* nous pourrions compter sur les doigts de la main les occurrences du mot -- we could count on the fingers of one hand the occurrences of the word,nous pourrions compter sur les doigts de la main les occurrences du mot,13,we could count on the fingers of one hand the occurrences of the word,67,281,67 | 281
3961,authentique,none,adj(f),"genuine, authentic",* mon objectif premier : rester authentique -- my main objective: to remain authentic,mon objectif premier : rester authentique,6,my main objective: to remain authentic,78,172,78 | 172
3962,attentivement,none,adv,"attentively, carefully, closely",* écoute-moi attentivement -- listen to me carefully,écoute-moi attentivement,2,listen to me carefully,65,307+s,65 | 307+s
3963,irlandais,Nationalities,nadj(pl),Irish,* ma femme est d'origine irlandaise -- my wife is of Irish background,ma femme est d'origine irlandaise,5,my wife is of Irish background,59,372,59 | 372
3964,confortable,none,adj(f),comfortable,* ce canapé n'est pas très confortable -- this sofa is not very comfortable,ce canapé n'est pas très confortable,6,this sofa is not very comfortable,78,175,78 | 175
3965,au-dessous,Adverbs – differences across registers,adv,underneath,* la température descend au-dessous de -40 -- the temperature is falling below -- 40,la température descend au-dessous de -40,6,the temperature is falling below -- 40,57,396-s,57 | 396-s
3966,fonctionnel,Adjectives – differences across registers,adj,functional,"* vous savez, tout est fonctionnel -- you know, everything works","vous savez, tout est fonctionnel",5,"you know, everything works",46,561+n -s,46 | 561+n -s
3967,panne,none,nf,"breakdown, failure",* ton téléphone est en panne -- your telephone doesn't work,ton téléphone est en panne,5,your telephone doesn't work,68,274,68 | 274
3968,adieu,none,"intj,nm","goodbye, farewell, adieu",* je ne t'aime plus. adieu -- I don't love you any more. farewell,je ne t'aime plus. adieu,5,I don't love you any more. farewell,60,367-n,60 | 367-n
3969,entre-temps,none,"adv,nm(pl)","meanwhile, in the meantime","* entre-temps, la population vieillit et augmente -- in the meantime the population is aging and increasing","entre-temps, la population vieillit et augmente",6,in the meantime the population is aging and increasing,76,198,76 | 198
3970,insérer,none,v,to insert,* j'insère ma carte dans la machine -- I insert my card into the machine,j'insère ma carte dans la machine,6,I insert my card into the machine,62,342,62 | 342
3971,confrère,none,nm,colleague,* mes confrères de classe ont bénéficié de ces bourses -- my classmates benefited from those scholarships,mes confrères de classe ont bénéficié de ces bourses,9,my classmates benefited from those scholarships,74,217,74 | 217
3972,litre,none,"nm,nf",litre,* il vient de boire deux litres de bière d'un coup -- he just drank two litres of beer in one sitting,il vient de boire deux litres de bière d'un coup,10,he just drank two litres of beer in one sitting,79,164,79 | 164
3973,suivi,none,nadj,"follow-up; consistent, continuous",* il n'y a pas assez de suivi psychiatrique et sanitaire en prison -- there isn't enough psychiatric and sanitary follow-up in prison,il n'y a pas assez de suivi psychiatrique et sanitaire en prison,12,there isn't enough psychiatric and sanitary follow-up in prison,69,260,69 | 260
3974,variation,none,nf,"variation, change",* les variations peuvent être compensées -- the variations can be compensated,les variations peuvent être compensées,5,the variations can be compensated,56,413+n -s,56 | 413+n -s
3975,productif,none,adj,productive,* j'essaie de rendre le gens les moins productifs que possible -- I try to make people the least productive possible,j'essaie de rendre le gens les moins productifs que possible,10,I try to make people the least productive possible,69,267,69 | 267
3976,groupement,none,nm,"grouping, group, categorization",* j'étais dans toutes sortes de groupements -- I was in all kinds of groups,j'étais dans toutes sortes de groupements,6,I was in all kinds of groups,74,210,74 | 210
3977,modernisation,none,nf,modernization,* il va nous amener à poursuivre notre modernisation -- he's going to push us to pursue our modernization,il va nous amener à poursuivre notre modernisation,8,he's going to push us to pursue our modernization,68,274,68 | 274
3978,déploiement,none,nm,"deployment, spreading, unfurling, display",* il s'agirait du premier déploiement de missiles sol-air -- it would be the first deployment of surface-to-air missiles,il s'agirait du premier déploiement de missiles sol-air,8,it would be the first deployment of surface-to-air missiles,70,248,70 | 248
3979,impuissant,none,nadj,"powerless, helpless",* la justice est complètement impuissante -- justice is completely powerless,la justice est complètement impuissante,5,justice is completely powerless,76,190,76 | 190
3980,restauration,none,nf,restoration; catering,* la restauration emploie beaucoup de jeunes -- catering employs many young people,la restauration emploie beaucoup de jeunes,6,catering employs many young people,76,189,76 | 189
3981,haïr,none,v,"to detest, hate, abhor",* j'ai toujours haï la campagne -- I always hated the countryside,j'ai toujours haï la campagne,5,I always hated the countryside,57,398-n,57 | 398-n
3982,marée,none,nf,tide,* c'est à marée haute qu'il faut venir -- you must come at high tide,c'est à marée haute qu'il faut venir,7,you must come at high tide,72,233,72 | 233
3983,souscrire,none,v,to subscribe,* elle ne souscrit pas complètement à nos principes -- she doesn't altogether subscribe to our principles,elle ne souscrit pas complètement à nos principes,8,she doesn't altogether subscribe to our principles,63,329,63 | 329
3984,diable,none,"intj,nm",devil,* vous croyez que je suis le diable? -- you think I'm the devil?,vous croyez que je suis le diable?,7,you think I'm the devil?,62,335,62 | 335
3985,suffrage,none,nm,vote,* le suffrage est le court moment du souverain -- the popular vote is the beginning of the end for a monarch,le suffrage est le court moment du souverain,8,the popular vote is the beginning of the end for a monarch,67,283,67 | 283
3986,spontané,none,adj,spontaneous,* sois spontanée pour une fois dans ta vie -- be spontaneous for once in your life,sois spontanée pour une fois dans ta vie,8,be spontaneous for once in your life,69,264,69 | 264
